Locus,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
NC_069912.1,genomic DNA,151023,Phragmipedium hirtzii,957922-1,Orchidaceae,Phragmipedium,hirtzii,,False,Phragmipedium hirtzii
NC_069913.1,genomic DNA,152966,Veronica teucrium,812745-1,Plantaginaceae,Veronica,teucrium,,True,Veronicastrum latifolium
NC_069914.1,genomic DNA,152656,Aster procerus,182053-1,Asteraceae,Aster,procerus,,False,Aster procerus
NC_069915.1,genomic DNA,152721,Aster pycnophyllus,182109-1,Asteraceae,Aster,pycnophyllus,,False,Aster pycnophyllus
NC_069916.1,genomic DNA,152664,Chaochienchangia falcifolia,77212644-1,Asteraceae,Chaochienchangia,falcifolia,,False,Aster falcifolius
NC_069922.1,genomic DNA,154094,Buddleja albiflora,545674-1,Scrophulariaceae,Buddleja,albiflora,,False,Buddleja albiflora
NC_026972.1,genomic DNA,140361,Pariana radiciflora,413739-1,Poaceae,Pariana,radiciflora,,False,Pariana radiciflora
NC_038098.1,genomic DNA,155653,Aconitum contortum,707275-1,Ranunculaceae,Aconitum,contortum,,False,Aconitum contortum
NC_038099.1,genomic DNA,128001,Taxus contorta,263797-1,Taxaceae,Taxus,contorta,,False,Taxus fuana
NC_038102.1,genomic DNA,156590,Rosa chinensis,732029-1,Rosaceae,Rosa,chinensis,,True,Rosa chinensis
NC_038103.1,genomic DNA,152468,Plagiorhegma dubium,107580-1,Berberidaceae,Plagiorhegma,dubium,,False,Plagiorhegma dubium
NC_039159.1,genomic DNA,156502,Stylosanthes hamata,247544-2,Fabaceae,Stylosanthes,hamata,,False,Stylosanthes hamata
NC_039160.1,genomic DNA,156502,Stylosanthes scabra,304693-2,Fabaceae,Stylosanthes,scabra,,False,Stylosanthes scabra
NC_039180.1,genomic DNA,151989,Suaeda malacosperma,167497-1,Amaranthaceae,Suaeda,malacosperma,,False,Suaeda malacosperma
NC_039448.1,genomic DNA,157521,Paspalum pubiflorum,184614-2,Poaceae,Paspalum,pubiflorum,,False,Paspalum pubiflorum
NC_039449.1,genomic DNA,142796,Paspalum virgatum,414854-1,Poaceae,Paspalum,virgatum,,True,Paspalum virgatum
NC_039451.1,genomic DNA,160945,Eriocapitella tomentosa,77184428-1,Ranunculaceae,Eriocapitella,tomentosa,,False,Anemone tomentosa
NC_057292.1,genomic DNA,157824,Mangifera sylvatica,69977-1,Anacardiaceae,Mangifera,sylvatica,,False,Mangifera sylvatica
NC_039450.1,genomic DNA,140732,Neurachne muelleri,409472-1,Poaceae,Neurachne,muelleri,,False,Paraneurachne muelleri
NC_057293.1,genomic DNA,161445,Olmedia aspera,854811-1,Moraceae,Olmedia,aspera,,False,Trophis caucana
NC_057296.1,genomic DNA,153016,Scrophularia kakudensis,809272-1,Scrophulariaceae,Scrophularia,kakudensis,,False,Scrophularia cephalantha
NC_057297.1,genomic DNA,159834,Magnolia duperreana,554685-1,Magnoliaceae,Magnolia,duperreana,,False,Magnolia duperreana
NC_057639.1,genomic DNA,155829,Bupleurum angustissimum,839039-1,Apiaceae,Bupleurum,angustissimum,,False,Bupleurum angustissimum
NC_057443.1,genomic DNA,153217,Dahlstedtia araripensis,77118413-1,Fabaceae,Dahlstedtia,araripensis,,False,Dahlstedtia araripensis
NC_057450.1,genomic DNA,151751,Erythrina crista-galli,494400-1,Fabaceae,Erythrina,crista-galli,,False,Erythrina crista-galli
NC_042668.1,genomic DNA,162083,Cycas szechuanensis,297042-1,Cycadaceae,Cycas,szechuanensis,,False,Cycas szechuanensis
NC_042671.1,genomic DNA,139460,Bambusa ventricosa,392561-1,Poaceae,Bambusa,ventricosa,,False,Bambusa ventricosa
NC_042672.1,genomic DNA,138137,Chusquea culeou,316731-2,Poaceae,Chusquea,culeou,,False,Chusquea culeou
NC_058773.1,genomic DNA,151011,Vatica guangxiensis,321642-1,Dipterocarpaceae,Vatica,guangxiensis,,False,Vatica xishuangbannaensis
NC_058774.1,genomic DNA,151394,Vatica rassak,321701-1,Dipterocarpaceae,Vatica,rassak,,False,Vatica rassak
NC_058775.1,genomic DNA,109569,Ephedra przewalskii,383449-1,Ephedraceae,Ephedra,przewalskii,,False,Ephedra przewalskii
NC_058776.1,genomic DNA,144893,Strobilanthes medahinnensis,77219078-1,Acanthaceae,Strobilanthes,medahinnensis,,False,Strobilanthes medahinnensis
NC_045308.1,genomic DNA,160295,Malus coronaria,726269-1,Rosaceae,Malus,coronaria,,False,Malus coronaria
NC_045309.1,genomic DNA,159813,Vauquelinia australis,262735-2,Rosaceae,Vauquelinia,australis,,False,Vauquelinia australis
NC_045311.1,genomic DNA,159400,Gillenia trifoliata,110547-2,Rosaceae,Gillenia,trifoliata,,False,Gillenia trifoliata
NC_045313.1,genomic DNA,159265,Amelanchier arborea,11133-2,Rosaceae,Amelanchier,arborea,,False,Amelanchier arborea
NC_045314.1,genomic DNA,159841,Amelanchier alnifolia,721172-1,Rosaceae,Amelanchier,alnifolia,,False,Amelanchier alnifolia
NC_045315.1,genomic DNA,159749,Amelanchier bartramiana,721182-1,Rosaceae,Amelanchier,bartramiana,,False,Amelanchier bartramiana
NC_045316.1,genomic DNA,159785,Amelanchier cusickii,11176-2,Rosaceae,Amelanchier,cusickii,,False,Amelanchier cusickii
NC_036306.1,genomic DNA,121363,Taxillus chinensis,552130-1,Loranthaceae,Taxillus,chinensis,,False,Taxillus chinensis
NC_036311.1,genomic DNA,169321,Codonopsis ussuriensis,141845-1,Campanulaceae,Codonopsis,ussuriensis,,False,Codonopsis minima
NC_050048.1,genomic DNA,160595,Ficus auriculata,852452-1,Moraceae,Ficus,auriculata,,False,Ficus beipeiensis
NC_050051.1,genomic DNA,155188,Agrimonia pilosa,2938663-4,Rosaceae,Agrimonia,pilosa,,True,Agrimonia pilosa
NC_050052.1,genomic DNA,164854,Paris polyphylla,539722-1,Melanthiaceae,Paris,polyphylla,,False,Paris polyphylla
NC_050054.1,genomic DNA,159413,Rumex hypogaeus,77152626-1,Polygonaceae,Rumex,hypogaeus,,False,Rumex hypogaeus
NC_050055.1,genomic DNA,151270,Chromolaena odorata,57443-2,Asteraceae,Chromolaena,odorata,,False,Chromolaena odorata
NC_071791.1,genomic DNA,151320,Cnidium dauricum,840444-1,Apiaceae,Cnidium,dauricum,,False,Cnidium dauricum
NC_071792.1,genomic DNA,150983,Tilingia ajanensis,849400-1,Apiaceae,Tilingia,ajanensis,,False,Tilingia ajanensis
NC_071793.1,genomic DNA,155113,Paraligusticum discolor,845642-1,Apiaceae,Paraligusticum,discolor,,False,Paraligusticum discolor
NC_071794.1,genomic DNA,148262,Ligusticopsis multivittata,844323-1,Apiaceae,Ligusticopsis,multivittata,,False,Ligusticum multivittatum
NC_071795.1,genomic DNA,145335,Ligusticum yushuense,1019072-1,Apiaceae,Ligusticum,yushuense,,False,Ligusticum yushuense
NC_071796.1,genomic DNA,155882,Hymenidium amabile,1018539-1,Apiaceae,Hymenidium,amabile,,False,Hymenidium amabile
NC_071799.1,genomic DNA,155425,Hymenidium benthamii,1018532-1,Apiaceae,Hymenidium,benthamii,,False,Hymenidium benthamii
NC_071800.1,genomic DNA,155294,Pleurospermopsis bicolor,77211782-1,Apiaceae,Pleurospermopsis,bicolor,,False,Hymenidium bicolor
NC_069923.1,genomic DNA,154125,Buddleja crispa,545727-1,Scrophulariaceae,Buddleja,crispa,,False,Buddleja crispa
NC_069924.1,genomic DNA,154161,Buddleja asiatica,545686-1,Scrophulariaceae,Buddleja,asiatica,,False,Buddleja asiatica
NC_069925.1,genomic DNA,154130,Buddleja fallowiana,545746-1,Scrophulariaceae,Buddleja,fallowiana,,False,Buddleja fallowiana
NC_069926.1,genomic DNA,154130,Buddleja candida,545708-1,Scrophulariaceae,Buddleja,candida,,False,Buddleja candida
NC_069927.1,genomic DNA,154151,Buddleja nivea,545837-1,Scrophulariaceae,Buddleja,nivea,,False,Buddleja nivea
NC_069928.1,genomic DNA,154184,Buddleja japonica,545793-1,Scrophulariaceae,Buddleja,japonica,,False,Buddleja japonica
NC_069929.1,genomic DNA,154291,Buddleja paniculata,545848-1,Scrophulariaceae,Buddleja,paniculata,,False,Buddleja paniculata
NC_031881.1,genomic DNA,156168,Merianthera pulchra,157644-2,Melastomataceae,Merianthera,pulchra,,False,Merianthera pulchra
NC_031889.1,genomic DNA,156789,Chaetogastra longifolia,567276-1,Melastomataceae,Chaetogastra,longifolia,,False,Tibouchina longifolia
NC_024813.1,genomic DNA,153538,Allium cepa,527795-1,Amaryllidaceae,Allium,cepa,,False,Allium cepa
NC_022850.1,genomic DNA,135516,Setaria italica,1207294-2,Poaceae,Setaria,italica,,False,Setaria italica
NC_039456.1,genomic DNA,157096,Anemonastrum trullifolium,60476984-2,Ranunculaceae,Anemonastrum,trullifolium,,False,Anemone trullifolia
NC_039457.1,genomic DNA,156706,Physalis angulata,195334-2,Solanaceae,Physalis,angulata,,False,Physalis angulata
NC_039458.1,genomic DNA,156706,Physalis pruinosa,317701-2,Solanaceae,Physalis,pruinosa,,False,Physalis pruinosa
NC_039459.1,genomic DNA,137513,Paspalum juergensii,184408-2,Poaceae,Paspalum,juergensii,,False,Paspalum juergensii
NC_039460.1,genomic DNA,152184,Paspalum minus,414434-1,Poaceae,Paspalum,minus,,False,Paspalum minus
NC_039462.1,genomic DNA,140451,Paspalum vaginatum,184742-2,Poaceae,Paspalum,vaginatum,,True,Paspalum vaginatum
NC_039129.1,genomic DNA,159769,Corylus yunnanensis,108033-1,Betulaceae,Corylus,yunnanensis,,False,Corylus yunnanensis
NC_057455.1,genomic DNA,149029,Lespedeza cuneata,502431-1,Fabaceae,Lespedeza,cuneata,,False,Lespedeza cuneata
NC_057482.1,genomic DNA,140556,Tripsacum laxum,287719-2,Poaceae,Tripsacum,laxum,,False,Tripsacum laxum
NC_057507.1,genomic DNA,159523,Clematis montana,709900-1,Ranunculaceae,Clematis,montana,,True,Clematis montana
NC_042673.1,genomic DNA,134242,Arrhenatherum elatius,389923-1,Poaceae,Arrhenatherum,elatius,,False,Arrhenatherum elatius
NC_042674.1,genomic DNA,153198,Halenia coreana,77197127-1,Gentianaceae,Halenia,coreana,,False,Halenia coreana
NC_042675.1,genomic DNA,152109,Suaeda japonica,167483-1,Amaranthaceae,Suaeda,japonica,,False,Suaeda japonica
NC_042686.1,genomic DNA,148428,Gastrochilus calceolaris,635397-1,Orchidaceae,Gastrochilus,calceolaris,,False,Gastrochilus calceolaris
NC_042688.1,genomic DNA,155640,Sophora tonkinensis,518956-1,Fabaceae,Sophora,tonkinensis,,False,Sophora tonkinensis
NC_058777.1,genomic DNA,151638,Dipterocarpus alatus,320626-1,Dipterocarpaceae,Dipterocarpus,alatus,,True,Dipterocarpus alatus
NC_058778.1,genomic DNA,160796,Quercus macrocalyx,359812-1,Fagaceae,Quercus,macrocalyx,,False,Quercus fleuryi
NC_045317.1,genomic DNA,159988,Amelanchier humilis,11197-2,Rosaceae,Amelanchier,humilis,,False,Amelanchier humilis
NC_045319.1,genomic DNA,159838,Amelanchier pallida,11228-2,Rosaceae,Amelanchier,pallida,,False,Amelanchier pallida
NC_045321.1,genomic DNA,159575,Gillenia stipulata,1210849-2,Rosaceae,Gillenia,stipulata,,False,Gillenia stipulata
NC_045322.1,genomic DNA,159097,Kageneckia angustifolia,725806-1,Rosaceae,Kageneckia,angustifolia,,False,Kageneckia angustifolia
NC_045323.1,genomic DNA,159027,Kageneckia lanceolata,725810-1,Rosaceae,Kageneckia,lanceolata,,False,Kageneckia lanceolata
NC_045324.1,genomic DNA,159409,Kageneckia oblonga,725811-1,Rosaceae,Kageneckia,oblonga,,False,Kageneckia oblonga
NC_045325.1,genomic DNA,159815,Malacomeles denticulata,149652-2,Rosaceae,Malacomeles,denticulata,,False,Malacomeles denticulata
NC_050061.1,genomic DNA,151520,Achyranthes bidentata,58678-1,Amaranthaceae,Achyranthes,bidentata,,False,Achyranthes longifolia
NC_050063.1,genomic DNA,151486,Achyranthes aspera,2468-2,Amaranthaceae,Achyranthes,aspera,,False,Achyranthes aspera
NC_050065.1,genomic DNA,160324,Juglans major,131762-2,Juglandaceae,Juglans,major,,False,Juglans major
NC_071801.1,genomic DNA,165147,Hymenidium foetens,1018536-1,Apiaceae,Hymenidium,foetens,,False,Pleurospermum foetens
NC_071802.1,genomic DNA,155399,Aulacospermum gonocaulum,838505-1,Apiaceae,Aulacospermum,gonocaulum,,False,Pleurospermum gonocaulum
NC_071804.1,genomic DNA,145404,Hymenidium hookeri,1018549-1,Apiaceae,Hymenidium,hookeri,,False,Hymenidium hookeri
NC_071805.1,genomic DNA,156464,Pterocyclus wolffianus,847621-1,Apiaceae,Pterocyclus,wolffianus,,False,Pleurospermum longicarpum
NC_071806.1,genomic DNA,155709,Physospermopsis nana,1018525-1,Apiaceae,Physospermopsis,nana,,False,Physospermopsis nana
NC_071808.1,genomic DNA,156023,Hymenidium szechenyi,1018535-1,Apiaceae,Hymenidium,szechenyi,,False,Pleurospermum szechenyii
NC_071809.1,genomic DNA,155231,Hymenidium tsekuense,1018540-1,Apiaceae,Hymenidium,tsekuense,,False,Hymenidium tsekuense
NC_071810.1,genomic DNA,155483,Pleurospermum uralense,847309-1,Apiaceae,Pleurospermum,uralense,,False,Pleurospermum uralense
NC_052855.1,genomic DNA,174831,Aquilaria beccariana,830819-1,Thymelaeaceae,Aquilaria,beccariana,,False,Aquilaria beccariana
NC_069930.1,genomic DNA,154223,Buddleja yunnanensis,545931-1,Scrophulariaceae,Buddleja,yunnanensis,,False,Buddleja yunnanensis
NC_069931.1,genomic DNA,154122,Buddleja macrostachya,545811-1,Scrophulariaceae,Buddleja,macrostachya,,False,Buddleja macrostachya
NC_069932.1,genomic DNA,154328,Buddleja curviflora,545730-1,Scrophulariaceae,Buddleja,curviflora,,False,Buddleja curviflora
NC_069933.1,genomic DNA,154353,Buddleja salviifolia,545879-1,Scrophulariaceae,Buddleja,salviifolia,,False,Buddleja salviifolia
NC_069934.1,genomic DNA,154199,Buddleja americana,319122-2,Scrophulariaceae,Buddleja,americana,,True,Buddleja americana
NC_069935.1,genomic DNA,154169,Buddleja aromatica,545685-1,Scrophulariaceae,Buddleja,aromatica,,False,Buddleja aromatica
NC_027960.1,genomic DNA,147253,Osyris alba,780497-1,Santalaceae,Osyris,alba,,False,Osyris alba
NC_028053.1,genomic DNA,165508,Pelargonium australe,164321-3,Geraniaceae,Pelargonium,australe,,False,Pelargonium australe
NC_028066.1,genomic DNA,152224,Elaeagnus macrophylla,323750-1,Elaeagnaceae,Elaeagnus,macrophylla,,False,Elaeagnus macrophylla
NC_028155.1,genomic DNA,128244,Cupressus majestica,77323746-1,Cupressaceae,Cupressus,majestica,,False,Cupressus gigantea
NC_022859.1,genomic DNA,155103,Lindenbergia philippensis,805066-1,Orobanchaceae,Lindenbergia,philippensis,,False,Lindenbergia philippensis
NC_038120.1,genomic DNA,139263,Passiflora biflora,674824-1,Passifloraceae,Passiflora,biflora,,False,Passiflora biflora
NC_039463.1,genomic DNA,140312,Paspalum inaequivalve,414274-1,Poaceae,Paspalum,inaequivalve,,False,Paspalum inaequivalve
NC_039464.1,genomic DNA,162086,Paspalum ionanthum,184398-2,Poaceae,Paspalum,ionanthum,,False,Paspalum ionanthum
NC_039465.1,genomic DNA,159276,Hepatica henryi,711395-1,Ranunculaceae,Hepatica,henryi,,False,Anemone henryi
NC_039461.1,genomic DNA,143254,Paspalum simplex,184690-2,Poaceae,Paspalum,simplex,,False,Paspalum simplex
NC_039415.1,genomic DNA,155411,Solanum usambarense,821403-1,Solanaceae,Solanum,usambarense,,False,Solanum usambarense
NC_057562.1,genomic DNA,159842,Nymphaea nouchali var. zanzibariensis,955149-1,Nymphaeaceae,Nymphaea,nouchali,zanzibariensis,False,Nymphaea colorata
NC_057573.1,genomic DNA,151808,Allium karataviense,528236-1,Amaryllidaceae,Allium,karataviense,,False,Allium karataviense
NC_057592.1,genomic DNA,157819,Stauntonia chinensis,107613-1,Lardizabalaceae,Stauntonia,chinensis,,False,Stauntonia chinensis
NC_057620.1,genomic DNA,155672,Rubus eucalyptus,986604-1,Rosaceae,Rubus,eucalyptus,,False,Rubus eucalyptus
NC_042692.1,genomic DNA,136536,Hordeum vulgare,405391-1,Poaceae,Hordeum,vulgare,,False,Hordeum vulgare
NC_042696.1,genomic DNA,152555,Parasassafras confertiflora,914393-1,Lauraceae,Parasassafras,confertiflora,,False,Parasassafras confertiflorum
NC_058787.1,genomic DNA,134364,Kengyilia hirsuta,963825-1,Poaceae,Kengyilia,hirsuta,,False,Kengyilia hirsuta
NC_058788.1,genomic DNA,134367,Kengyilia grandiglumis,963822-1,Poaceae,Kengyilia,grandiglumis,,False,Kengyilia grandiglumis
NC_058794.1,genomic DNA,160391,Sparganium glomeratum,836764-1,Typhaceae,Sparganium,glomeratum,,False,Sparganium glomeratum
NC_058795.1,genomic DNA,161720,Sparganium angustifolium,241071-2,Typhaceae,Sparganium,angustifolium,,True,Sparganium angustifolium
NC_058796.1,genomic DNA,151240,Helianthus atrorubens,329242-2,Asteraceae,Helianthus,atrorubens,,True,Helianthus atrorubens
NC_045327.1,genomic DNA,160560,Hesperomeles goudotiana,120960-2,Rosaceae,Hesperomeles,goudotiana,,False,Hesperomeles goudotiana
NC_045328.1,genomic DNA,160097,Hesperomeles ferruginea,725473-1,Rosaceae,Hesperomeles,ferruginea,,False,Hesperomeles ferruginea
NC_045330.1,genomic DNA,159466,Rhaphiolepis indica,731389-1,Rosaceae,Rhaphiolepis,indica,,False,Rhaphiolepis indica
NC_045332.1,genomic DNA,159515,Rhaphiolepis ferruginea,731417-1,Rosaceae,Rhaphiolepis,ferruginea,,False,Rhaphiolepis ferruginea
NC_045333.1,genomic DNA,159688,Rhaphiolepis lanceolata,731396-1,Rosaceae,Rhaphiolepis,lanceolata,,False,Rhaphiolepis lanceolata
NC_045335.1,genomic DNA,160682,Dichotomanthes tristaniicarpa,724608-1,Rosaceae,Dichotomanthes,tristaniicarpa,,False,Dichotomanthes tristaniicarpa
NC_047060.1,genomic DNA,157616,Haematoxylum brasiletto,497227-1,Fabaceae,Haematoxylum,brasiletto,,False,Haematoxylum brasiletto
NC_036336.1,genomic DNA,161020,Vitis cinerea,1038332-2,Vitaceae,Vitis,cinerea,,True,Vitis cinerea
NC_071811.1,genomic DNA,155950,Hymenidium wilsonii,1018557-1,Apiaceae,Hymenidium,wilsonii,,False,Hymenidium wilsonii
NC_071812.1,genomic DNA,151190,Seselopsis tianschanica,848783-1,Apiaceae,Seselopsis,tianschanica,,False,Seselopsis tianschanica
NC_071813.1,genomic DNA,154412,Silaum silaus,848813-1,Apiaceae,Silaum,silaus,,False,Silaum silaus
NC_071814.1,genomic DNA,145696,Trachydium subnudum,849631-1,Apiaceae,Trachydium,subnudum,,False,Trachydium subnudum
NC_071816.1,genomic DNA,155476,Vicatia coniifolia,849951-1,Apiaceae,Vicatia,coniifolia,,False,Vicatia coniifolia
NC_071817.1,genomic DNA,138736,Themeda triandra,424213-1,Poaceae,Themeda,triandra,,False,Themeda japonica
NC_071818.1,genomic DNA,156942,Deutzia longifolia,790864-1,Hydrangeaceae,Deutzia,longifolia,,False,Deutzia longifolia
NC_028439.1,genomic DNA,169503,Musa balbisiana,797536-1,Musaceae,Musa,balbisiana,,False,Musa balbisiana
NC_052856.1,genomic DNA,174761,Aquilaria hirta,20001505-1,Thymelaeaceae,Aquilaria,hirta,,False,Aquilaria hirta
NC_052857.1,genomic DNA,174819,Aquilaria microcarpa,830836-1,Thymelaeaceae,Aquilaria,microcarpa,,False,Aquilaria microcarpa
NC_052858.1,genomic DNA,174693,Aquilaria rostrata,830846-1,Thymelaeaceae,Aquilaria,rostrata,,False,Aquilaria rostrata
NC_052859.1,genomic DNA,174828,Aquilaria subintegra,830850-1,Thymelaeaceae,Aquilaria,subintegra,,False,Aquilaria subintegra
NC_052860.1,genomic DNA,176548,Gonystylus affinis,831967-1,Thymelaeaceae,Gonystylus,affinis,,False,Gonystylus affinis
NC_052861.1,genomic DNA,174585,Phaleria macrocarpa,832478-1,Thymelaeaceae,Phaleria,macrocarpa,,False,Phaleria macrocarpa
NC_052864.1,genomic DNA,151185,Ligularia virgaurea,230891-1,Asteraceae,Ligularia,virgaurea,,False,Ligularia virgaurea
NC_069936.1,genomic DNA,154240,Buddleja brachystachya,545696-1,Scrophulariaceae,Buddleja,brachystachya,,False,Buddleja brachystachya
NC_069937.1,genomic DNA,154295,Buddleja delavayi,545736-1,Scrophulariaceae,Buddleja,delavayi,,False,Buddleja delavayi
NC_069938.1,genomic DNA,154297,Buddleja microstachya,77075774-1,Scrophulariaceae,Buddleja,microstachya,,False,Buddleja microstachya
NC_069939.1,genomic DNA,154273,Buddleja subcapitata,77063789-1,Scrophulariaceae,Buddleja,subcapitata,,False,Buddleja subcapitata
NC_032008.1,genomic DNA,156906,Citrullus lanatus,291938-1,Cucurbitaceae,Citrullus,lanatus,,False,Citrullus lanatus
NC_037699.1,genomic DNA,151967,Lilium washingtonianum,323955-2,Liliaceae,Lilium,washingtonianum,,False,Lilium washingtonianum
NC_037700.1,genomic DNA,152107,Dendrobium bellatulum,626905-1,Orchidaceae,Dendrobium,bellatulum,,False,Dendrobium bellatulum
NC_039436.1,genomic DNA,152784,Lilium henrici,537594-1,Liliaceae,Lilium,henrici,,False,Lilium henricii
NC_039454.1,genomic DNA,149626,Pseudostellaria okamotoi var. longipedicellata,77166009-1,Caryophyllaceae,Pseudostellaria,okamotoi,longipedicellata,False,Pseudostellaria longipedicellata
NC_039413.1,genomic DNA,155541,Solanum umtuma,77116656-1,Solanaceae,Solanum,umtuma,,False,Solanum umtuma
NC_039391.1,genomic DNA,140666,Dendrotrophe varians,780144-1,Santalaceae,Dendrotrophe,varians,,False,Dendrotrophe varians
NC_040218.1,genomic DNA,145327,Polytaenium ensiforme,208093-2,Pteridaceae,Polytaenium,ensiforme,,False,Scoliosorus ensiformis
NC_042144.1,genomic DNA,139708,Cymbopogon citratus,396896-1,Poaceae,Cymbopogon,citratus,,False,Cymbopogon citratus
NC_042145.1,genomic DNA,136805,Dichanthium annulatum,398528-1,Poaceae,Dichanthium,annulatum,,False,Dichanthium annulatum
NC_042146.1,genomic DNA,127927,Glycyrrhiza inflata,496952-1,Fabaceae,Glycyrrhiza,inflata,,False,Glycyrrhiza inflata
NC_042148.1,genomic DNA,158737,Sinojackia sarcocarpa,968306-1,Styracaceae,Sinojackia,sarcocarpa,,False,Sinojackia sarcocarpa
NC_042700.1,genomic DNA,153114,Cullen corylifolium,489225-1,Fabaceae,Cullen,corylifolium,,False,Cullen corylifolium
NC_042701.1,genomic DNA,139946,Amelichloa brachychaeta,60443106-2,Poaceae,Amelichloa,brachychaeta,,False,Amelichloa brachychaeta
NC_042702.1,genomic DNA,135887,Ammochloa palaestina,387237-1,Poaceae,Ammochloa,palaestina,,False,Ammochloa palaestina
NC_042704.1,genomic DNA,133982,Desmazeria sicula,397855-1,Poaceae,Desmazeria,sicula,,False,Desmazeria sicula
NC_042706.1,genomic DNA,135642,Kengyilia melanthera,963824-1,Poaceae,Kengyilia,melanthera,,False,Kengyilia melanthera
NC_042708.1,genomic DNA,136639,Polypogon fugax,418681-1,Poaceae,Polypogon,fugax,,False,Polypogon fugax
NC_042709.1,genomic DNA,136088,Scolochloa festucacea,421150-1,Poaceae,Scolochloa,festucacea,,False,Scolochloa festucacea
NC_042710.1,genomic DNA,136539,Triplachne nitens,424914-1,Poaceae,Triplachne,nitens,,False,Triplachne nitens
NC_058797.1,genomic DNA,151190,Helianthus verticillatus,119280-2,Asteraceae,Helianthus,verticillatus,,False,Helianthus verticillatus
NC_058798.1,genomic DNA,151134,Helianthus silphioides,329244-2,Asteraceae,Helianthus,silphioides,,False,Helianthus silphioides
NC_058799.1,genomic DNA,159778,Linum lewisii,140855-2,Linaceae,Linum,lewisii,,False,Linum lewisii
NC_058801.1,genomic DNA,152214,Impatiens davidi,374048-1,Balsaminaceae,Impatiens,davidi,,False,Impatiens davidii
NC_058802.1,genomic DNA,155806,Fragaria chinensis,724990-1,Rosaceae,Fragaria,chinensis,,False,Fragaria chinensis
NC_058804.1,genomic DNA,155829,Fragaria daltoniana,725000-1,Rosaceae,Fragaria,daltoniana,,False,Fragaria daltoniana
NC_058805.1,genomic DNA,155626,Fragaria moupinensis,725054-1,Rosaceae,Fragaria,moupinensis,,False,Fragaria moupinensis
NC_045337.1,genomic DNA,159445,Pseudocydonia sinensis,730448-1,Rosaceae,Pseudocydonia,sinensis,,False,Chaenomeles sinensis
NC_045339.1,genomic DNA,159662,Cotoneaster microphyllus,722578-1,Rosaceae,Cotoneaster,microphyllus,,True,Cotoneaster microphyllus
NC_045340.1,genomic DNA,159524,Cotoneaster acuminatus,2943936-4,Rosaceae,Cotoneaster,acuminatus,,True,Cotoneaster acuminatus
NC_045341.1,genomic DNA,159626,Cotoneaster frigidus,722495-1,Rosaceae,Cotoneaster,frigidus,,True,Cotoneaster frigidus
NC_045342.1,genomic DNA,159552,Rhaphiolepis salicifolia,731409-1,Rosaceae,Rhaphiolepis,salicifolia,,False,Rhaphiolepis salicifolia
NC_045344.1,genomic DNA,159654,Photinia integrifolia,727394-1,Rosaceae,Photinia,integrifolia,,False,Photinia integrifolia
NC_045345.1,genomic DNA,159631,Eriobotrya henryi,724789-1,Rosaceae,Eriobotrya,henryi,,False,Eriobotrya henryi
NC_045346.1,genomic DNA,156994,Eriobotrya malipoensis,724799-1,Rosaceae,Eriobotrya,malipoensis,,False,Eriobotrya malipoensis
